"microorganism"	"antibiotic"
"Campylobacter blaseri"	"Linezolid"
"Campylobacter blaseri"	"Norvancomycin"
"Campylobacter blaseri"	"Oritavancin"
"Campylobacter blaseri"	"Pirlimycin"
"Campylobacter blaseri"	"Ramoplanin"
"Campylobacter blaseri"	"Tedizolid"
"Campylobacter blaseri"	"Teicoplanin"
"Campylobacter blaseri"	"Teicoplanin-macromethod"
"Campylobacter blaseri"	"Telavancin"
"Campylobacter blaseri"	"Thiacetazone"
"Campylobacter blaseri"	"Vancomycin"
"Campylobacter canadensis"	"Avoparcin"
"Campylobacter canadensis"	"Clindamycin"
"Campylobacter canadensis"	"Cycloserine"
"Campylobacter canadensis"	"Dalbavancin"
"Campylobacter canadensis"	"Lincomycin"
"Campylobacter canadensis"	"Linezolid"
"Campylobacter canadensis"	"Norvancomycin"
"Campylobacter canadensis"	"Oritavancin"
"Campylobacter canadensis"	"Pirlimycin"
"Campylobacter canadensis"	"Ramoplanin"
"Campylobacter canadensis"	"Tedizolid"
"Campylobacter canadensis"	"Teicoplanin"
"Campylobacter canadensis"	"Teicoplanin-macromethod"
"Campylobacter canadensis"	"Telavancin"
"Campylobacter canadensis"	"Thiacetazone"
"Campylobacter canadensis"	"Vancomycin"
"Campylobacter coli"	"Avoparcin"
"Campylobacter coli"	"Clindamycin"
"Campylobacter coli"	"Cycloserine"
"Campylobacter coli"	"Dalbavancin"
"Campylobacter coli"	"Fusidic acid"
"Campylobacter coli"	"Lincomycin"
"Campylobacter coli"	"Linezolid"
"Campylobacter coli"	"Norvancomycin"
"Campylobacter coli"	"Oritavancin"
"Campylobacter coli"	"Pirlimycin"
"Campylobacter coli"	"Pristinamycin"
"Campylobacter coli"	"Quinupristin/dalfopristin"
"Campylobacter coli"	"Ramoplanin"
"Campylobacter coli"	"Tedizolid"
"Campylobacter coli"	"Teicoplanin"
"Campylobacter coli"	"Teicoplanin-macromethod"
"Campylobacter coli"	"Telavancin"
"Campylobacter coli"	"Thiacetazone"
"Campylobacter coli"	"Trimethoprim"
"Campylobacter coli"	"Vancomycin"
"Campylobacter concisus"	"Avoparcin"
"Campylobacter concisus"	"Clindamycin"
"Campylobacter concisus"	"Cycloserine"
"Campylobacter concisus"	"Dalbavancin"
"Campylobacter concisus"	"Lincomycin"
"Campylobacter concisus"	"Linezolid"
"Campylobacter concisus"	"Norvancomycin"
"Campylobacter concisus"	"Oritavancin"
"Campylobacter concisus"	"Pirlimycin"
"Campylobacter concisus"	"Ramoplanin"
"Campylobacter concisus"	"Tedizolid"
"Campylobacter concisus"	"Teicoplanin"
"Campylobacter concisus"	"Teicoplanin-macromethod"
"Campylobacter concisus"	"Telavancin"
"Campylobacter concisus"	"Thiacetazone"
"Campylobacter concisus"	"Vancomycin"
"Campylobacter corcagiensis"	"Avoparcin"
"Campylobacter corcagiensis"	"Clindamycin"
"Campylobacter corcagiensis"	"Cycloserine"
"Campylobacter corcagiensis"	"Dalbavancin"
"Campylobacter corcagiensis"	"Lincomycin"
"Campylobacter corcagiensis"	"Linezolid"
"Campylobacter corcagiensis"	"Norvancomycin"
"Campylobacter corcagiensis"	"Oritavancin"
"Campylobacter corcagiensis"	"Pirlimycin"
"Campylobacter corcagiensis"	"Ramoplanin"
"Campylobacter corcagiensis"	"Tedizolid"
"Campylobacter corcagiensis"	"Teicoplanin"
"Campylobacter corcagiensis"	"Teicoplanin-macromethod"
"Campylobacter corcagiensis"	"Telavancin"
"Campylobacter corcagiensis"	"Thiacetazone"
"Campylobacter corcagiensis"	"Vancomycin"
"Campylobacter cryaerophila"	"Avoparcin"
"Campylobacter cryaerophila"	"Clindamycin"
"Campylobacter cryaerophila"	"Cycloserine"
"Campylobacter cryaerophila"	"Dalbavancin"
"Campylobacter cryaerophila"	"Lincomycin"
"Campylobacter cryaerophila"	"Linezolid"
"Campylobacter cryaerophila"	"Norvancomycin"
"Campylobacter cryaerophila"	"Oritavancin"
"Campylobacter cryaerophila"	"Pirlimycin"
"Campylobacter cryaerophila"	"Ramoplanin"
"Campylobacter cryaerophila"	"Tedizolid"
"Campylobacter cryaerophila"	"Teicoplanin"
"Campylobacter cryaerophila"	"Teicoplanin-macromethod"
"Campylobacter cryaerophila"	"Telavancin"
"Campylobacter cryaerophila"	"Thiacetazone"
"Campylobacter cryaerophila"	"Vancomycin"
"Campylobacter cuniculorum"	"Avoparcin"
"Campylobacter cuniculorum"	"Clindamycin"
"Campylobacter cuniculorum"	"Cycloserine"
"Campylobacter cuniculorum"	"Dalbavancin"
"Campylobacter cuniculorum"	"Lincomycin"
"Campylobacter cuniculorum"	"Linezolid"
"Campylobacter cuniculorum"	"Norvancomycin"
"Campylobacter cuniculorum"	"Oritavancin"
"Campylobacter cuniculorum"	"Pirlimycin"
"Campylobacter cuniculorum"	"Ramoplanin"
"Campylobacter cuniculorum"	"Tedizolid"
"Campylobacter cuniculorum"	"Teicoplanin"
"Campylobacter cuniculorum"	"Teicoplanin-macromethod"
"Campylobacter cuniculorum"	"Telavancin"
"Campylobacter cuniculorum"	"Thiacetazone"
"Campylobacter cuniculorum"	"Vancomycin"
"Campylobacter curvus"	"Avoparcin"
"Campylobacter curvus"	"Clindamycin"
"Campylobacter curvus"	"Cycloserine"
"Campylobacter curvus"	"Dalbavancin"
"Campylobacter curvus"	"Lincomycin"
"Campylobacter curvus"	"Linezolid"
"Campylobacter curvus"	"Norvancomycin"
"Campylobacter curvus"	"Oritavancin"
"Campylobacter curvus"	"Pirlimycin"
"Campylobacter curvus"	"Ramoplanin"
"Campylobacter curvus"	"Tedizolid"
"Campylobacter curvus"	"Teicoplanin"
"Campylobacter curvus"	"Teicoplanin-macromethod"
"Campylobacter curvus"	"Telavancin"
"Campylobacter curvus"	"Thiacetazone"
"Campylobacter curvus"	"Vancomycin"
"Campylobacter fetus"	"Avoparcin"
"Campylobacter fetus"	"Clindamycin"
"Campylobacter fetus"	"Cycloserine"
"Campylobacter fetus"	"Dalbavancin"
"Campylobacter fetus"	"Fusidic acid"
"Campylobacter fetus"	"Lincomycin"
"Campylobacter fetus"	"Linezolid"
"Campylobacter fetus"	"Nalidixic acid"
"Campylobacter fetus"	"Norvancomycin"
"Campylobacter fetus"	"Oritavancin"
"Campylobacter fetus"	"Pirlimycin"
"Campylobacter fetus"	"Pristinamycin"
"Campylobacter fetus"	"Quinupristin/dalfopristin"
"Campylobacter fetus"	"Ramoplanin"
"Campylobacter fetus"	"Tedizolid"
"Campylobacter fetus"	"Teicoplanin"
"Campylobacter fetus"	"Teicoplanin-macromethod"
"Campylobacter fetus"	"Telavancin"
"Campylobacter fetus"	"Thiacetazone"
"Campylobacter fetus"	"Trimethoprim"
"Campylobacter fetus"	"Vancomycin"
"Campylobacter fetus testudinum"	"Avoparcin"
"Campylobacter fetus testudinum"	"Clindamycin"
"Campylobacter fetus testudinum"	"Cycloserine"
"Campylobacter fetus testudinum"	"Dalbavancin"
"Campylobacter fetus testudinum"	"Fusidic acid"
"Campylobacter fetus testudinum"	"Lincomycin"
"Campylobacter fetus testudinum"	"Linezolid"
"Campylobacter fetus testudinum"	"Nalidixic acid"
"Campylobacter fetus testudinum"	"Norvancomycin"
"Campylobacter fetus testudinum"	"Oritavancin"
"Campylobacter fetus testudinum"	"Pirlimycin"
"Campylobacter fetus testudinum"	"Pristinamycin"
"Campylobacter fetus testudinum"	"Quinupristin/dalfopristin"
"Campylobacter fetus testudinum"	"Ramoplanin"
"Campylobacter fetus testudinum"	"Tedizolid"
"Campylobacter fetus testudinum"	"Teicoplanin"
"Campylobacter fetus testudinum"	"Teicoplanin-macromethod"
"Campylobacter fetus testudinum"	"Telavancin"
"Campylobacter fetus testudinum"	"Thiacetazone"
"Campylobacter fetus testudinum"	"Trimethoprim"
"Campylobacter fetus testudinum"	"Vancomycin"
"Campylobacter fetus venerealis"	"Avoparcin"
"Campylobacter fetus venerealis"	"Clindamycin"
"Campylobacter fetus venerealis"	"Cycloserine"
"Campylobacter fetus venerealis"	"Dalbavancin"
"Campylobacter fetus venerealis"	"Fusidic acid"
"Campylobacter fetus venerealis"	"Lincomycin"
"Campylobacter fetus venerealis"	"Linezolid"
"Campylobacter fetus venerealis"	"Nalidixic acid"
"Campylobacter fetus venerealis"	"Norvancomycin"
"Campylobacter fetus venerealis"	"Oritavancin"
"Campylobacter fetus venerealis"	"Pirlimycin"
"Campylobacter fetus venerealis"	"Pristinamycin"
"Campylobacter fetus venerealis"	"Quinupristin/dalfopristin"
"Campylobacter fetus venerealis"	"Ramoplanin"
"Campylobacter fetus venerealis"	"Tedizolid"
"Campylobacter fetus venerealis"	"Teicoplanin"
"Campylobacter fetus venerealis"	"Teicoplanin-macromethod"
"Campylobacter fetus venerealis"	"Telavancin"
"Campylobacter fetus venerealis"	"Thiacetazone"
"Campylobacter fetus venerealis"	"Trimethoprim"
"Campylobacter fetus venerealis"	"Vancomycin"
"Campylobacter geochelonis"	"Avoparcin"
"Campylobacter geochelonis"	"Clindamycin"
"Campylobacter geochelonis"	"Cycloserine"
"Campylobacter geochelonis"	"Dalbavancin"
"Campylobacter geochelonis"	"Lincomycin"
"Campylobacter geochelonis"	"Linezolid"
"Campylobacter geochelonis"	"Norvancomycin"
"Campylobacter geochelonis"	"Oritavancin"
"Campylobacter geochelonis"	"Pirlimycin"
"Campylobacter geochelonis"	"Ramoplanin"
"Campylobacter geochelonis"	"Tedizolid"
"Campylobacter geochelonis"	"Teicoplanin"
"Campylobacter geochelonis"	"Teicoplanin-macromethod"
"Campylobacter geochelonis"	"Telavancin"
"Campylobacter geochelonis"	"Thiacetazone"
"Campylobacter geochelonis"	"Vancomycin"
"Campylobacter gracilis"	"Avoparcin"
"Campylobacter gracilis"	"Clindamycin"
"Campylobacter gracilis"	"Cycloserine"
"Campylobacter gracilis"	"Dalbavancin"
"Campylobacter gracilis"	"Lincomycin"
"Campylobacter gracilis"	"Linezolid"
"Campylobacter gracilis"	"Norvancomycin"
"Campylobacter gracilis"	"Oritavancin"
"Campylobacter gracilis"	"Pirlimycin"
"Campylobacter gracilis"	"Ramoplanin"
"Campylobacter gracilis"	"Tedizolid"
"Campylobacter gracilis"	"Teicoplanin"
"Campylobacter gracilis"	"Teicoplanin-macromethod"
"Campylobacter gracilis"	"Telavancin"
"Campylobacter gracilis"	"Thiacetazone"
"Campylobacter gracilis"	"Vancomycin"
"Campylobacter helveticus"	"Avoparcin"
"Campylobacter helveticus"	"Clindamycin"
"Campylobacter helveticus"	"Cycloserine"
"Campylobacter helveticus"	"Dalbavancin"
"Campylobacter helveticus"	"Lincomycin"
"Campylobacter helveticus"	"Linezolid"
"Campylobacter helveticus"	"Norvancomycin"
"Campylobacter helveticus"	"Oritavancin"
"Campylobacter helveticus"	"Pirlimycin"
"Campylobacter helveticus"	"Ramoplanin"
"Campylobacter helveticus"	"Tedizolid"
"Campylobacter helveticus"	"Teicoplanin"
"Campylobacter helveticus"	"Teicoplanin-macromethod"
"Campylobacter helveticus"	"Telavancin"
"Campylobacter helveticus"	"Thiacetazone"
"Campylobacter helveticus"	"Vancomycin"
"Campylobacter hepaticus"	"Avoparcin"
"Campylobacter hepaticus"	"Clindamycin"
"Campylobacter hepaticus"	"Cycloserine"
"Campylobacter hepaticus"	"Dalbavancin"
"Campylobacter hepaticus"	"Lincomycin"
"Campylobacter hepaticus"	"Linezolid"
"Campylobacter hepaticus"	"Norvancomycin"
"Campylobacter hepaticus"	"Oritavancin"
"Campylobacter hepaticus"	"Pirlimycin"
"Campylobacter hepaticus"	"Ramoplanin"
"Campylobacter hepaticus"	"Tedizolid"
"Campylobacter hepaticus"	"Teicoplanin"
"Campylobacter hepaticus"	"Teicoplanin-macromethod"
"Campylobacter hepaticus"	"Telavancin"
"Campylobacter hepaticus"	"Thiacetazone"
"Campylobacter hepaticus"	"Vancomycin"
"Campylobacter hominis"	"Avoparcin"
"Campylobacter hominis"	"Clindamycin"
"Campylobacter hominis"	"Cycloserine"
"Campylobacter hominis"	"Dalbavancin"
"Campylobacter hominis"	"Lincomycin"
"Campylobacter hominis"	"Linezolid"
"Campylobacter hominis"	"Norvancomycin"
"Campylobacter hominis"	"Oritavancin"
"Campylobacter hominis"	"Pirlimycin"
"Campylobacter hominis"	"Ramoplanin"
"Campylobacter hominis"	"Tedizolid"
"Campylobacter hominis"	"Teicoplanin"
"Campylobacter hominis"	"Teicoplanin-macromethod"
"Campylobacter hominis"	"Telavancin"
"Campylobacter hominis"	"Thiacetazone"
"Campylobacter hominis"	"Vancomycin"
"Campylobacter hyointestinalis"	"Avoparcin"
"Campylobacter hyointestinalis"	"Clindamycin"
"Campylobacter hyointestinalis"	"Cycloserine"
"Campylobacter hyointestinalis"	"Dalbavancin"
"Campylobacter hyointestinalis"	"Lincomycin"
"Campylobacter hyointestinalis"	"Linezolid"
"Campylobacter hyointestinalis"	"Norvancomycin"
"Campylobacter hyointestinalis"	"Oritavancin"
"Campylobacter hyointestinalis"	"Pirlimycin"
"Campylobacter hyointestinalis"	"Ramoplanin"
"Campylobacter hyointestinalis"	"Tedizolid"
"Campylobacter hyointestinalis"	"Teicoplanin"
"Campylobacter hyointestinalis"	"Teicoplanin-macromethod"
"Campylobacter hyointestinalis"	"Telavancin"
"Campylobacter hyointestinalis"	"Thiacetazone"
"Campylobacter hyointestinalis"	"Vancomycin"
"Campylobacter hyointestinalis lawsonii"	"Avoparcin"
"Campylobacter hyointestinalis lawsonii"	"Clindamycin"
"Campylobacter hyointestinalis lawsonii"	"Cycloserine"
"Campylobacter hyointestinalis lawsonii"	"Dalbavancin"
"Campylobacter hyointestinalis lawsonii"	"Lincomycin"
"Campylobacter hyointestinalis lawsonii"	"Linezolid"
"Campylobacter hyointestinalis lawsonii"	"Norvancomycin"
"Campylobacter hyointestinalis lawsonii"	"Oritavancin"
"Campylobacter hyointestinalis lawsonii"	"Pirlimycin"
"Campylobacter hyointestinalis lawsonii"	"Ramoplanin"
"Campylobacter hyointestinalis lawsonii"	"Tedizolid"
"Campylobacter hyointestinalis lawsonii"	"Teicoplanin"
"Campylobacter hyointestinalis lawsonii"	"Teicoplanin-macromethod"
"Campylobacter hyointestinalis lawsonii"	"Telavancin"
"Campylobacter hyointestinalis lawsonii"	"Thiacetazone"
"Campylobacter hyointestinalis lawsonii"	"Vancomycin"
"Campylobacter iguaniorum"	"Avoparcin"
"Campylobacter iguaniorum"	"Clindamycin"
"Campylobacter iguaniorum"	"Cycloserine"
"Campylobacter iguaniorum"	"Dalbavancin"
"Campylobacter iguaniorum"	"Lincomycin"
"Campylobacter iguaniorum"	"Linezolid"
"Campylobacter iguaniorum"	"Norvancomycin"
"Campylobacter iguaniorum"	"Oritavancin"
"Campylobacter iguaniorum"	"Pirlimycin"
"Campylobacter iguaniorum"	"Ramoplanin"
"Campylobacter iguaniorum"	"Tedizolid"
"Campylobacter iguaniorum"	"Teicoplanin"
"Campylobacter iguaniorum"	"Teicoplanin-macromethod"
"Campylobacter iguaniorum"	"Telavancin"
"Campylobacter iguaniorum"	"Thiacetazone"
"Campylobacter iguaniorum"	"Vancomycin"
"Campylobacter insulaenigrae"	"Avoparcin"
"Campylobacter insulaenigrae"	"Clindamycin"
"Campylobacter insulaenigrae"	"Cycloserine"
"Campylobacter insulaenigrae"	"Dalbavancin"
"Campylobacter insulaenigrae"	"Lincomycin"
"Campylobacter insulaenigrae"	"Linezolid"
"Campylobacter insulaenigrae"	"Norvancomycin"
"Campylobacter insulaenigrae"	"Oritavancin"
"Campylobacter insulaenigrae"	"Pirlimycin"
"Campylobacter insulaenigrae"	"Ramoplanin"
"Campylobacter insulaenigrae"	"Tedizolid"
"Campylobacter insulaenigrae"	"Teicoplanin"
"Campylobacter insulaenigrae"	"Teicoplanin-macromethod"
"Campylobacter insulaenigrae"	"Telavancin"
"Campylobacter insulaenigrae"	"Thiacetazone"
"Campylobacter insulaenigrae"	"Vancomycin"
"Campylobacter jejuni"	"Avoparcin"
"Campylobacter jejuni"	"Clindamycin"
"Campylobacter jejuni"	"Cycloserine"
"Campylobacter jejuni"	"Dalbavancin"
"Campylobacter jejuni"	"Fusidic acid"
"Campylobacter jejuni"	"Lincomycin"
"Campylobacter jejuni"	"Linezolid"
"Campylobacter jejuni"	"Norvancomycin"
"Campylobacter jejuni"	"Oritavancin"
"Campylobacter jejuni"	"Pirlimycin"
"Campylobacter jejuni"	"Pristinamycin"
"Campylobacter jejuni"	"Quinupristin/dalfopristin"
"Campylobacter jejuni"	"Ramoplanin"
"Campylobacter jejuni"	"Tedizolid"
"Campylobacter jejuni"	"Teicoplanin"
"Campylobacter jejuni"	"Teicoplanin-macromethod"
"Campylobacter jejuni"	"Telavancin"
"Campylobacter jejuni"	"Thiacetazone"
"Campylobacter jejuni"	"Trimethoprim"
"Campylobacter jejuni"	"Vancomycin"
"Campylobacter jejuni doylei"	"Avoparcin"
"Campylobacter jejuni doylei"	"Clindamycin"
"Campylobacter jejuni doylei"	"Cycloserine"
"Campylobacter jejuni doylei"	"Dalbavancin"
"Campylobacter jejuni doylei"	"Fusidic acid"
"Campylobacter jejuni doylei"	"Lincomycin"
"Campylobacter jejuni doylei"	"Linezolid"
"Campylobacter jejuni doylei"	"Norvancomycin"
"Campylobacter jejuni doylei"	"Oritavancin"
"Campylobacter jejuni doylei"	"Pirlimycin"
"Campylobacter jejuni doylei"	"Pristinamycin"
"Campylobacter jejuni doylei"	"Quinupristin/dalfopristin"
"Campylobacter jejuni doylei"	"Ramoplanin"
"Campylobacter jejuni doylei"	"Tedizolid"
"Campylobacter jejuni doylei"	"Teicoplanin"
"Campylobacter jejuni doylei"	"Teicoplanin-macromethod"
"Campylobacter jejuni doylei"	"Telavancin"
"Campylobacter jejuni doylei"	"Thiacetazone"
"Campylobacter jejuni doylei"	"Trimethoprim"
"Campylobacter jejuni doylei"	"Vancomycin"
"Campylobacter lanienae"	"Avoparcin"
"Campylobacter lanienae"	"Clindamycin"
"Campylobacter lanienae"	"Cycloserine"
"Campylobacter lanienae"	"Dalbavancin"
"Campylobacter lanienae"	"Lincomycin"
"Campylobacter lanienae"	"Linezolid"
"Campylobacter lanienae"	"Norvancomycin"
"Campylobacter lanienae"	"Oritavancin"
"Campylobacter lanienae"	"Pirlimycin"
"Campylobacter lanienae"	"Ramoplanin"
"Campylobacter lanienae"	"Tedizolid"
"Campylobacter lanienae"	"Teicoplanin"
"Campylobacter lanienae"	"Teicoplanin-macromethod"
"Campylobacter lanienae"	"Telavancin"
"Campylobacter lanienae"	"Thiacetazone"
"Campylobacter lanienae"	"Vancomycin"
"Campylobacter lari"	"Avoparcin"
"Campylobacter lari"	"Clindamycin"
"Campylobacter lari"	"Cycloserine"
"Campylobacter lari"	"Dalbavancin"
"Campylobacter lari"	"Lincomycin"
"Campylobacter lari"	"Linezolid"
"Campylobacter lari"	"Norvancomycin"
"Campylobacter lari"	"Oritavancin"
"Campylobacter lari"	"Pirlimycin"
"Campylobacter lari"	"Ramoplanin"
"Campylobacter lari"	"Tedizolid"
"Campylobacter lari"	"Teicoplanin"
"Campylobacter lari"	"Teicoplanin-macromethod"
"Campylobacter lari"	"Telavancin"
"Campylobacter lari"	"Thiacetazone"
"Campylobacter lari"	"Vancomycin"
"Campylobacter lari concheus"	"Avoparcin"
"Campylobacter lari concheus"	"Clindamycin"
"Campylobacter lari concheus"	"Cycloserine"
"Campylobacter lari concheus"	"Dalbavancin"
"Campylobacter lari concheus"	"Lincomycin"
"Campylobacter lari concheus"	"Linezolid"
"Campylobacter lari concheus"	"Norvancomycin"
"Campylobacter lari concheus"	"Oritavancin"
"Campylobacter lari concheus"	"Pirlimycin"
"Campylobacter lari concheus"	"Ramoplanin"
"Campylobacter lari concheus"	"Tedizolid"
"Campylobacter lari concheus"	"Teicoplanin"
"Campylobacter lari concheus"	"Teicoplanin-macromethod"
"Campylobacter lari concheus"	"Telavancin"
"Campylobacter lari concheus"	"Thiacetazone"
"Campylobacter lari concheus"	"Vancomycin"
"Campylobacter mucosalis"	"Avoparcin"
"Campylobacter mucosalis"	"Clindamycin"
"Campylobacter mucosalis"	"Cycloserine"
"Campylobacter mucosalis"	"Dalbavancin"
"Campylobacter mucosalis"	"Lincomycin"
"Campylobacter mucosalis"	"Linezolid"
"Campylobacter mucosalis"	"Norvancomycin"
"Campylobacter mucosalis"	"Oritavancin"
"Campylobacter mucosalis"	"Pirlimycin"
"Campylobacter mucosalis"	"Ramoplanin"
"Campylobacter mucosalis"	"Tedizolid"
"Campylobacter mucosalis"	"Teicoplanin"
"Campylobacter mucosalis"	"Teicoplanin-macromethod"
"Campylobacter mucosalis"	"Telavancin"
"Campylobacter mucosalis"	"Thiacetazone"
"Campylobacter mucosalis"	"Vancomycin"
"Campylobacter ornithocola"	"Avoparcin"
"Campylobacter ornithocola"	"Clindamycin"
"Campylobacter ornithocola"	"Cycloserine"
"Campylobacter ornithocola"	"Dalbavancin"
"Campylobacter ornithocola"	"Lincomycin"
"Campylobacter ornithocola"	"Linezolid"
"Campylobacter ornithocola"	"Norvancomycin"
"Campylobacter ornithocola"	"Oritavancin"
"Campylobacter ornithocola"	"Pirlimycin"
"Campylobacter ornithocola"	"Ramoplanin"
"Campylobacter ornithocola"	"Tedizolid"
"Campylobacter ornithocola"	"Teicoplanin"
"Campylobacter ornithocola"	"Teicoplanin-macromethod"
"Campylobacter ornithocola"	"Telavancin"
"Campylobacter ornithocola"	"Thiacetazone"
"Campylobacter ornithocola"	"Vancomycin"
"Campylobacter peloridis"	"Avoparcin"
"Campylobacter peloridis"	"Clindamycin"
"Campylobacter peloridis"	"Cycloserine"
"Campylobacter peloridis"	"Dalbavancin"
"Campylobacter peloridis"	"Lincomycin"
"Campylobacter peloridis"	"Linezolid"
"Campylobacter peloridis"	"Norvancomycin"
"Campylobacter peloridis"	"Oritavancin"
"Campylobacter peloridis"	"Pirlimycin"
"Campylobacter peloridis"	"Ramoplanin"
"Campylobacter peloridis"	"Tedizolid"
"Campylobacter peloridis"	"Teicoplanin"
"Campylobacter peloridis"	"Teicoplanin-macromethod"
"Campylobacter peloridis"	"Telavancin"
"Campylobacter peloridis"	"Thiacetazone"
"Campylobacter peloridis"	"Vancomycin"
"Campylobacter pinnipediorum"	"Avoparcin"
"Campylobacter pinnipediorum"	"Clindamycin"
"Campylobacter pinnipediorum"	"Cycloserine"
"Campylobacter pinnipediorum"	"Dalbavancin"
"Campylobacter pinnipediorum"	"Lincomycin"
"Campylobacter pinnipediorum"	"Linezolid"
"Campylobacter pinnipediorum"	"Norvancomycin"
"Campylobacter pinnipediorum"	"Oritavancin"
"Campylobacter pinnipediorum"	"Pirlimycin"
"Campylobacter pinnipediorum"	"Ramoplanin"
"Campylobacter pinnipediorum"	"Tedizolid"
"Campylobacter pinnipediorum"	"Teicoplanin"
"Campylobacter pinnipediorum"	"Teicoplanin-macromethod"
"Campylobacter pinnipediorum"	"Telavancin"
"Campylobacter pinnipediorum"	"Thiacetazone"
"Campylobacter pinnipediorum"	"Vancomycin"
"Campylobacter pinnipediorum caledonicus"	"Avoparcin"
"Campylobacter pinnipediorum caledonicus"	"Clindamycin"
"Campylobacter pinnipediorum caledonicus"	"Cycloserine"
"Campylobacter pinnipediorum caledonicus"	"Dalbavancin"
"Campylobacter pinnipediorum caledonicus"	"Lincomycin"
"Campylobacter pinnipediorum caledonicus"	"Linezolid"
"Campylobacter pinnipediorum caledonicus"	"Norvancomycin"
"Campylobacter pinnipediorum caledonicus"	"Oritavancin"
"Campylobacter pinnipediorum caledonicus"	"Pirlimycin"
"Campylobacter pinnipediorum caledonicus"	"Ramoplanin"
"Campylobacter pinnipediorum caledonicus"	"Tedizolid"
"Campylobacter pinnipediorum caledonicus"	"Teicoplanin"
"Campylobacter pinnipediorum caledonicus"	"Teicoplanin-macromethod"
"Campylobacter pinnipediorum caledonicus"	"Telavancin"
"Campylobacter pinnipediorum caledonicus"	"Thiacetazone"
"Campylobacter pinnipediorum caledonicus"	"Vancomycin"
"Campylobacter rectus"	"Avoparcin"
"Campylobacter rectus"	"Clindamycin"
"Campylobacter rectus"	"Cycloserine"
"Campylobacter rectus"	"Dalbavancin"
"Campylobacter rectus"	"Lincomycin"
"Campylobacter rectus"	"Linezolid"
"Campylobacter rectus"	"Norvancomycin"
"Campylobacter rectus"	"Oritavancin"
"Campylobacter rectus"	"Pirlimycin"
"Campylobacter rectus"	"Ramoplanin"
"Campylobacter rectus"	"Tedizolid"
"Campylobacter rectus"	"Teicoplanin"
"Campylobacter rectus"	"Teicoplanin-macromethod"
"Campylobacter rectus"	"Telavancin"
"Campylobacter rectus"	"Thiacetazone"
"Campylobacter rectus"	"Vancomycin"
"Campylobacter showae"	"Avoparcin"
"Campylobacter showae"	"Clindamycin"
"Campylobacter showae"	"Cycloserine"
"Campylobacter showae"	"Dalbavancin"
"Campylobacter showae"	"Lincomycin"
"Campylobacter showae"	"Linezolid"
"Campylobacter showae"	"Norvancomycin"
"Campylobacter showae"	"Oritavancin"
"Campylobacter showae"	"Pirlimycin"
"Campylobacter showae"	"Ramoplanin"
"Campylobacter showae"	"Tedizolid"
"Campylobacter showae"	"Teicoplanin"
"Campylobacter showae"	"Teicoplanin-macromethod"
"Campylobacter showae"	"Telavancin"
"Campylobacter showae"	"Thiacetazone"
"Campylobacter showae"	"Vancomycin"
"Campylobacter sputorum"	"Avoparcin"
"Campylobacter sputorum"	"Clindamycin"
"Campylobacter sputorum"	"Cycloserine"
"Campylobacter sputorum"	"Dalbavancin"
"Campylobacter sputorum"	"Lincomycin"
"Campylobacter sputorum"	"Linezolid"
"Campylobacter sputorum"	"Norvancomycin"
"Campylobacter sputorum"	"Oritavancin"
"Campylobacter sputorum"	"Pirlimycin"
"Campylobacter sputorum"	"Ramoplanin"
"Campylobacter sputorum"	"Tedizolid"
"Campylobacter sputorum"	"Teicoplanin"
"Campylobacter sputorum"	"Teicoplanin-macromethod"
"Campylobacter sputorum"	"Telavancin"
"Campylobacter sputorum"	"Thiacetazone"
"Campylobacter sputorum"	"Vancomycin"
"Campylobacter sputorum bubulus"	"Avoparcin"
"Campylobacter sputorum bubulus"	"Clindamycin"
"Campylobacter sputorum bubulus"	"Cycloserine"
"Campylobacter sputorum bubulus"	"Dalbavancin"
"Campylobacter sputorum bubulus"	"Lincomycin"
"Campylobacter sputorum bubulus"	"Linezolid"
"Campylobacter sputorum bubulus"	"Norvancomycin"
"Campylobacter sputorum bubulus"	"Oritavancin"
"Campylobacter sputorum bubulus"	"Pirlimycin"
"Campylobacter sputorum bubulus"	"Ramoplanin"
"Campylobacter sputorum bubulus"	"Tedizolid"
"Campylobacter sputorum bubulus"	"Teicoplanin"
"Campylobacter sputorum bubulus"	"Teicoplanin-macromethod"
"Campylobacter sputorum bubulus"	"Telavancin"
"Campylobacter sputorum bubulus"	"Thiacetazone"
"Campylobacter sputorum bubulus"	"Vancomycin"
"Campylobacter subantarcticus"	"Avoparcin"
"Campylobacter subantarcticus"	"Clindamycin"
"Campylobacter subantarcticus"	"Cycloserine"
"Campylobacter subantarcticus"	"Dalbavancin"
"Campylobacter subantarcticus"	"Lincomycin"
"Campylobacter subantarcticus"	"Linezolid"
"Campylobacter subantarcticus"	"Norvancomycin"
"Campylobacter subantarcticus"	"Oritavancin"
"Campylobacter subantarcticus"	"Pirlimycin"
"Campylobacter subantarcticus"	"Ramoplanin"
"Campylobacter subantarcticus"	"Tedizolid"
"Campylobacter subantarcticus"	"Teicoplanin"
"Campylobacter subantarcticus"	"Teicoplanin-macromethod"
"Campylobacter subantarcticus"	"Telavancin"
"Campylobacter subantarcticus"	"Thiacetazone"
"Campylobacter subantarcticus"	"Vancomycin"
"Campylobacter upsaliensis"	"Avoparcin"
"Campylobacter upsaliensis"	"Clindamycin"
