"guideline"	"type"	"host"	"method"	"site"	"mo"	"rank_index"	"ab"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"	"is_SDD"
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"NOR"	"Enterobacterales"		0.5	0.5	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"OFX"	"Enterobacterales"	"5 mcg"	24	22	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"OFX"	"Enterobacterales"		0.25	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"PIP"	"Enterobacterales"	"30 mcg"	20	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"PIP"	"Enterobacterales"		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Intravenous"	"B_[ORD]_ENTRBCTR"	5	"SAM"	"Enterobacterales"	"10 mcg/10 mcg"	14	14	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Oral, Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"SAM"	"Enterobacterales"	"10 mcg/10 mcg"	14	14	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Intravenous"	"B_[ORD]_ENTRBCTR"	5	"SAM"	"Enterobacterales"		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Oral, Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"SAM"	"Enterobacterales"		8	8	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"SXT"	"Enterobacterales"	"1.25 mcg/23.75 mcg"	14	11	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"SXT"	"Enterobacterales"		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"TCC"	"Enterobacterales"	"75/10-15 mcg"	23	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"TCC"	"Enterobacterales"		8	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"TMP"	"Enterobacterales"	"5 mcg"	15	15	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"TMP"	"Enterobacterales"		4	4	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"TOB"	"Enterobacterales"	"10 mcg"	16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"TOB"	"Enterobacterales"	"10 mcg"	16	16	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"TOB"	"Enterobacterales"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_[ORD]_ENTRBCTR"	5	"TOB"	"Enterobacterales"		2	2	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_[ORD]_ENTRBCTR"	5	"TZP"	"Enterobacterales"	"30 mcg/6 mcg"	20	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_[ORD]_ENTRBCTR"	5	"TZP"	"Enterobacterales"		8	8	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_FLAVS"	2	"AMB"	"Antifungal ECOFFs"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_FLAVS"	2	"ISV"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_FLAVS"	2	"ISV"	"Aspergillus"		1	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_FLAVS"	2	"ITR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_FLAVS"	2	"ITR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_FLAVS"	2	"POS"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_FLAVS"	2	"VOR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_MGTS"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_MGTS"	2	"AMB"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_MGTS"	2	"ISV"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_MGTS"	2	"ISV"	"Aspergillus"		1	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_MGTS"	2	"ITR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_MGTS"	2	"ITR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_MGTS"	2	"POS"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_MGTS"	2	"POS"	"Aspergillus"		0.125	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_MGTS"	2	"VOR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_MGTS"	2	"VOR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NDLN"	2	"AMB"	"Antifungal ECOFFs"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NDLN"	2	"ISV"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_NDLN"	2	"ISV"	"Aspergillus"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NDLN"	2	"ITR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_NDLN"	2	"ITR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NDLN"	2	"POS"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NDLN"	2	"VOR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_NDLN"	2	"VOR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NIGR"	2	"AMB"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_NIGR"	2	"AMB"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NIGR"	2	"ISV"	"Antifungal ECOFFs"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NIGR"	2	"ITR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NIGR"	2	"POS"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_NIGR"	2	"VOR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_TERRS"	2	"AMB"	"Antifungal ECOFFs"		8	8	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_TERRS"	2	"ISV"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_TERRS"	2	"ISV"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_TERRS"	2	"ITR"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_TERRS"	2	"ITR"	"Aspergillus"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_TERRS"	2	"POS"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_ASPRG_TERRS"	2	"POS"	"Aspergillus"		0.125	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_ASPRG_TERRS"	2	"VOR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD"	3	"FLU"	"Candida"		2	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"ANI"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"ANI"	"Candida"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"FLU"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"FLU"	"Candida"		2	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"ITR"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"ITR"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"MIF"	"Antifungal ECOFFs"		0.016	0.016	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"MIF"	"Candida"		0.016	0.016	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"POS"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"POS"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"RZF"	"Antifungal ECOFFs"		0.008	0.008	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_ALBC"	2	"VOR"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_ALBC"	2	"VOR"	"Candida"		0.064	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"AMB"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_DBLN"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"FLU"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_DBLN"	2	"FLU"	"Candida"		2	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"ITR"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_DBLN"	2	"ITR"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"POS"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_DBLN"	2	"POS"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"RZF"	"Antifungal ECOFFs"		0.016	0.016	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_DBLN"	2	"VOR"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_DBLN"	2	"VOR"	"Candida"		0.064	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_GLBR"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"ANI"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_GLBR"	2	"ANI"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"FLU"	"Antifungal ECOFFs"		16	16	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_GLBR"	2	"FLU"	"Candida"		1e-04	16	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"ITR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"MIF"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_GLBR"	2	"MIF"	"Candida"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"POS"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"RZF"	"Antifungal ECOFFs"		0.016	0.016	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_GLBR"	2	"VOR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"ANI"	"Antifungal ECOFFs"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"ANI"	"Candida"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"FLU"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"FLU"	"Candida"		2	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"ITR"	"Antifungal ECOFFs"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"ITR"	"Candida"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"MIF"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"MIF"	"Candida"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"POS"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"POS"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"RZF"	"Antifungal ECOFFs"		4	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_PRPS"	2	"VOR"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_PRPS"	2	"VOR"	"Candida"		0.125	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"ANI"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"ANI"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"FLU"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"FLU"	"Candida"		2	4	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"ITR"	"Antifungal ECOFFs"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"ITR"	"Candida"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"MIF"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"POS"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"POS"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"RZF"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CANDD_TRPC"	2	"VOR"	"Antifungal ECOFFs"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CANDD_TRPC"	2	"VOR"	"Candida"		0.125	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CRYPT_GATT"	2	"AMB"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CRYPT_GATT"	2	"POS"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CRYPT_NFRM"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_CRYPT_NFRM"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CRYPT_NFRM"	2	"POS"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_CRYPT_NFRM"	2	"VOR"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_FUSRM_JKRI"	2	"AMB"	"Antifungal ECOFFs"		8	8	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_MYRZY_GLLR"	2	"AMB"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_MYRZY_GLLR"	2	"FLU"	"Antifungal ECOFFs"		16	16	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_MYRZY_GLLR"	2	"ITR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_MYRZY_GLLR"	2	"POS"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"AMB"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_PICHI_KDRV"	2	"AMB"	"Candida"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"ANI"	"Antifungal ECOFFs"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"F_PICHI_KDRV"	2	"ANI"	"Candida"		0.064	0.064	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"FLU"	"Antifungal ECOFFs"		128	128	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"ITR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"MIF"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"POS"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"RZF"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_PICHI_KDRV"	2	"VOR"	"Antifungal ECOFFs"		1	1	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_SCCHR_CRVS"	2	"AMB"	"Antifungal ECOFFs"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_SCCHR_CRVS"	2	"ITR"	"Antifungal ECOFFs"		2	2	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_TRCHP_RBRM"	2	"AMO"	"Antifungal ECOFFs"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_TRCHP_RBRM"	2	"ITR"	"Antifungal ECOFFs"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_TRCHP_RBRM"	2	"TRB"	"Antifungal ECOFFs"		0.032	0.032	FALSE	FALSE
"EUCAST 2024"	"ECOFF"	"ECOFF"	"MIC"		"F_TRCHP_RBRM"	2	"VOR"	"Antifungal ECOFFs"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"AMC"	"PK/PD"		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"AMK"	"PK/PD"		1	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"AMP"	"PK/PD"		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"AMX"	"PK/PD"		2	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"ATM"	"PK/PD"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"BPR"	"PK/PD"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CAZ"	"PK/PD"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CIP"	"PK/PD"		0.25	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CPT"	"PK/PD"		0.5	0.5	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CRO"	"PK/PD"		1	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CTX"	"PK/PD"		1	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CXM"	"PK/PD"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CZA"	"PK/PD"		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CZO"	"PK/PD"		1	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"CZT"	"PK/PD"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"DAL"	"PK/PD"		0.25	0.25	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"ETP"	"PK/PD"		0.5	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"FEP"	"PK/PD"		4	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"FLU"	"PK/PD"		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"UNKNOWN"	1	"GEN"	"PK/PD"		0.5	0.5	FALSE	FALSE
