"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Oxygen tolerance"
23776,UasXn-3,"DSM 26991, JCM 19020",1,"Bacteroides luti",anaerobe
130976,NEC1412b3,"DSM 26805, CSUR P 1500",0,"Bacteroides neonati",anaerobe
139989,,"DSM 18764, ATCC BAA 998, CCUG 48943, JCM 12987, WAL 11050",1,"Bacteroides nordii",anaerobe
1630,,"DSM 22535, JCM 16102, CCUG 60913, YIT 12058, KCTC 15130",1,"Bacteroides oleiciplenus",anaerobe
1592,,"DSM 1896, ATCC 8483, NCTC 11153, CCUG 4943, CIP 103756, JCM 5824, KCTC 5011, BCRC 10623",1,"Bacteroides ovatus",anaerobe
,,,,,"obligate anaerobe"
147982,,"CCUG 34617",0,"Bacteroides ovatus",anaerobe
150259,,"CCUG 39406, DSM 11773",0,"Bacteroides ovatus",anaerobe
156073,,"CCUG 60273, ATCC BAA 1296, LBM 90.01.069",0,"Bacteroides ovatus",anaerobe
1621,SV434,"DSM 19291, JCM 14649, CCUG 60909",1,"Bacteroides propionicifaciens",anaerobe
1620,S562,"DSM 19346",0,"Bacteroides propionicifaciens",anaerobe
1594,P39-88,"DSM 20611, ATCC 35418, CCUG 15419, JCM 6294",1,"Bacteroides pyogenes",anaerobe
1593,160,"DSM 19673, ATCC 43331, CCUG 25929, JCM 10003, NCTC 11853, VPB 160",0,"Bacteroides pyogenes",anaerobe
1595,"P 38024","CCUG 15420, CCM 3725, DSM 20612, ATCC 35419, JCM 6292",0,"Bacteroides pyogenes",anaerobe
155252,,"CCUG 57080",0,"Bacteroides pyogenes",anaerobe
156615,,"CCUG 63581",0,"Bacteroides pyogenes",anaerobe
156810,,"CCUG 65536",0,"Bacteroides pyogenes",anaerobe
133840,Rs-03,"JCM 10512, CCUG 62153, DSM 105720",1,"Bacteroides reticulotermitis",anaerobe
22935,ST28,"DSM 26882, CCUG 59334, JCM 16469, JCM 16496",1,"Bacteroides rodentium",anaerobe
1619,,"DSM 18765, ATCC BAA 997, CCUG 48945, JCM 12988, WAL 10018",1,"Bacteroides salyersiae",anaerobe
155796,,"CCUG 59335, JCM 16497",0,"Phocaeicola sartorii",anaerobe
1598,C,"DSM 7167",0,"Bacteroides sp.",anaerobe
153434,,"CCUG 49580",0,"Bacteroides sp.",anaerobe
157004,,"CCUG 68584",0,"Bacteroides sp.",anaerobe
157006,,"CCUG 68586",0,"Bacteroides sp.",anaerobe
157018,,"CCUG 68663",0,"Bacteroides sp.",anaerobe
157022,,"CCUG 68701",0,"Bacteroides sp.",anaerobe
157027,,"CCUG 68735",0,"Bacteroides sp.",anaerobe
131249,ST161,"DSM 26884, CCUG 60872, JCM 17103",1,"Bacteroides stercorirosoris",anaerobe
1618,,"DSM 19555, ATCC 43183, CIP 104203, JCM 9496, CCUG 38733, VPI B5-21, NCTC 13053",1,"Bacteroides stercoris",anaerobe
1599,"E50 (VPI 5482), VPI-5482","DSM 2079, ATCC 29148, NCTC 10582, CCUG 10774, CIP 104206, VPI 5482, JCM 5827, CGMCC 1.5132",1,"Bacteroides thetaiotaomicron",anaerobe
1600,,"DSM 2255, ATCC 29741, WAL 2926",0,"Bacteroides thetaiotaomicron",anaerobe
157019,,"CCUG 68684",0,"Bacteroides thetaiotaomicron",anaerobe
157023,,"CCUG 68702",0,"Bacteroides thetaiotaomicron",anaerobe
157029,,"CCUG 68746",0,"Bacteroides thetaiotaomicron",anaerobe
130975,AP1,"DSM 26083, CSUR P194",1,"Bacteroides timonensis",anaerobe
1604,,"CCUG 4942, JCM 5828, CIP 103695, KCTC 5204, DSM 6597, ATCC 8492, VPI 0061, CGMCC 1.5133, NCTC 13054",1,"Bacteroides uniformis",anaerobe
,,,,,microaerophile
1605,"mprl 1841","DSM 9672",0,"Bacteroides uniformis",anaerobe
148471,,"CCUG 35501",0,"Bacteroides uniformis",anaerobe
150459,,"CCUG 39989",0,"Bacteroides uniformis",anaerobe
153424,,"CCUG 49527",0,"Bacteroides uniformis",microaerophile
156940,,"CCUG 67191",0,"Bacteroides uniformis",anaerobe
150373,,"CCUG 39752",0,"Phocaeicola vulgatus",anaerobe
157017,,"CCUG 68662",0,"Phocaeicola vulgatus",anaerobe
1626,XB1A,"DSM 18836, CCUG 53782, JCM 15633",1,"Bacteroides xylanisolvens",anaerobe
,,,,,"obligate anaerobe"
131167,JJM0207_12,"DSM 100015",0,"Bacteroides xylanisolvens",anaerobe
153256,,"CCUG 48900",0,"Bacteroides xylanisolvens",anaerobe
158509,,"DSM 108226, CGMCC 4.7547, KCTC 49229, YIM 75507",1,"Bailinhaonella thermotolerans",aerobe
17640,17S,"DSM 16304, ATCC BAA 736, JCM 11970",1,"Balnearium lithotrophicum",anaerobe
11267,4-87,"DSM 16621, ATCC 51285, CIP 103589, CCUG 32555",1,"Balneatrix alpica",aerobe
136252,,"CIP 103979, ATCC 51489, CCUG 32793",0,"Balneatrix alpica",aerobe
133009,KHALHBd91,"DSM 28579, JCM 19909",1,"Balneicella halophila",anaerobe
17739,CM41_14b,"DSM 19538, CIP 109603, OOB 103",1,"Balneola alkaliphila",aerobe
17738,13IX/A01/164,"DSM 17893, CIP 109092, OOB 256",1,"Balneola vulgaris",aerobe
12519,,"DSM 21032, JCM 15079, YIT 11860",1,"Barnesiella intestinihominis",anaerobe
12518,C46,"CCUG 55593, DSM 18177, JCM 13660",1,"Barnesiella viscericola",anaerobe
3935,39,"DSM 24617, CGMCC 4.6864, JCM 19663",1,"Barrientosiimonas humi",aerobe
22987,MSW-24,"DSM 21415, JCM 19562, KCTC 19485",1,"Barrientosiimonas marina",aerobe
23781,KS2-1,"DSM 28537, JCM 17706, KCTC 23907",1,"Bartonella acomydis",aerobe
,,,,,microaerophile
1634,,"DSM 21432, CCUG 45774, CIP 105477, IBS 382",1,"Bartonella alsatica",microaerophile
138561,,"CIP 108978, CCUG 51999, CSUR B1",1,"Bartonella australis",microaerophile
136970,,"CIP 108979, CCUG 52001, CSUR B3",0,"Bartonella australis",microaerophile
138557,,"CIP 108980, CCUG 52000, CSUR B2",0,"Bartonella australis",microaerophile
135175,,"CIP 77.27, CCUG 45775",0,"Bartonella bacilliformis",aerobe
1636,,"DSM 21463, CCUG 44360, CIP 106294, IBS 325",1,"Bartonella birtlesii",microaerophile
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,"Bartonella bovis",microaerophile
23782,BR11-1,"DSM 28538, JCM 17709, KCTC 23909",1,"Bartonella callosciuri",aerobe
,,,,,microaerophile
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,"Bartonella capreoli",microaerophile
1639,A828,"DSM 21431, CCUG 47497, CIP 107869",1,"Bartonella chomelii",microaerophile
1640,AUST/NH20,"DSM 23499, CCUG 52174, CIP 109064, CSUR B619",1,"Bartonella coopersplainsensis","facultative anaerobe"
,,,,,microaerophile
23785,R4,"DSM 23735, CSUR B627",1,"Bartonella florencae",microaerophile
23777,"G5436, Houston-1","DSM 28221, ATCC 49882, CCUG 30454, CIP 103737",1,"Bartonella henselae",microaerophile
136341,,"CIP 104756, CCUG 50772",0,"Bartonella henselae",microaerophile
23783,OY2-1,"DSM 28562, JCM 17712, KCTC 23655",1,"Bartonella jaculi",aerobe
,,,,,microaerophile
1643,,"DSM 23650, CIP 109861, JCM 15567, Fuji 18-1",1,"Bartonella japonica",microaerophile
1635,C-29,"DSM 21570, ATCC 700693, CIP 107025, CCUG 50773",1,"Bartonella koehlerae",microaerophile
23784,FN15-2,"DSM 28563, JCM 17714, KCTC 23657",1,"Bartonella pachyuromydis",aerobe
,,,,,microaerophile
138801,,"CIP 107707, CCUG 51222",1,"Bartonella phoceensis",microaerophile
1641,AUST/NH12,"DSM 23498, CCUG 52167, CIP 109057, CSUR B617",1,"Bartonella queenslandensis",microaerophile
136973,,"CIP 109052, CCUG 52162, CSUR B614",0,"Bartonella queenslandensis",microaerophile
136974,,"CIP 109053, CCUG 52163, CSUR B615",0,"Bartonella queenslandensis",microaerophile
138566,,"CIP 109056, CCUG 52166, CSUR B616",0,"Bartonella queenslandensis",microaerophile
138568,,"CIP 109060, CCUG 52170, CSUR B618",0,"Bartonella queenslandensis",microaerophile
1633,Fuller,"DSM 21441, ATCC VR-358, CIP 107027",1,"Bartonella quintana",microaerophile
139102,,"CIP 103739, CCUG 45777",0,"Bartonella quintana",microaerophile
1642,AUST/NH4,"DSM 23500, CCUG 52161, CIP 109051, CSUR B609",1,"Bartonella rattaustraliani",microaerophile
138564,,"CIP 109054, CCUG 52165, CSUR B611",0,"Bartonella rattaustraliani",microaerophile
138565,,"CIP 109055, CCUG 52164, CSUR B610",0,"Bartonella rattaustraliani",microaerophile
138567,,"CIP 109059, CCUG 52169, CSUR B612",0,"Bartonella rattaustraliani",microaerophile
138569,,"CIP 109063, CCUG 52173, CSUR B613",0,"Bartonella rattaustraliani",microaerophile
135079,,"CIP 107705, CCUG 51221",1,"Bartonella rattimassiliensis",microaerophile
1645,BMGH,"DSM 25050, ATCC BAA 1498",1,"Bartonella rochalimae",microaerophile
1632,"E251, R1","DSM 13525, CCUG 50783, CIP 107819, NCTC 13165",1,"Bartonella schoenbuchensis",microaerophile
1644,,"DSM 23649, CIP 109862, JCM 15566, Fuji 23-1",1,"Bartonella silvatica",microaerophile
154366,,"CCUG 53262",0,"Bartonella tamiae",microaerophile
146145,,"CCUG 30453, ATCC VR-152, CIP 103738",1,"Bartonella vinsonii",microaerophile
23780,"OK 94-513","DSM 28218, ATCC 700727, CCUG 50775, CIP 106848",1,"Bartonella vinsonii subsp. arupensis",microaerophile
23778,93-CO1,"DSM 28220, ATCC 51672, CCUG 45779, CIP 104960",1,"Bartonella vinsonii subsp. berkhoffii",microaerophile
154352,,"CCUG 53213, ATCC BAA 1342",1,"Bartonella washoensis subsp. cynomysi",microaerophile
11757,JF4016,"DSM 22022, CCUG 57335",1,"Basfia succiniciproducens",aerobe
,,,,,"facultative anaerobe"
,,,,,microaerophile
155436,,"CCUG 57762",0,"Basfia succiniciproducens",microaerophile
155437,,"CCUG 57763",0,"Basfia succiniciproducens",microaerophile
155438,,"CCUG 57764",0,"Basfia succiniciproducens",microaerophile
155439,,"CCUG 57765",0,"Basfia succiniciproducens",microaerophile
155440,,"CCUG 57766",0,"Basfia succiniciproducens",microaerophile
130149,JF4266,"DSM 24701, CIP 110308",1,"Basilea psittacipulmonis",microaerophile
5363,,"DSM 19936, CCUG 55508, WCC 4188",1,"Bavariicoccus seileri",anaerobe
,,,,,"facultative anaerobe"
,,,,,microaerophile
154870,,"CCUG 55507",0,"Bavariicoccus seileri",microaerophile
154871,,"CCUG 55509",0,"Bavariicoccus seileri",aerobe
17716,BA134,"DSM 15883, CIP 108006, LMG 21964, UCCCB126",1,"Belliella baltica",aerobe
140946,5C,"VKM B-2724, KCTC 32194",1,"Belliella buryatensis",aerobe
24721,CC-SAL-25,"DSM 46698, BCRC 17883, KCTC 13248",1,"Belliella pelovolcani",aerobe
505,GOMI-1,"DSM 17877, JCM 13669",1,"Bellilinea caldifistulae",anaerobe
38,CP2C,"DSM 16746, ATCC BAA 1043, CIP 109215",1,"Belnapia moabensis",aerobe
39,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1,"Belnapia rosea",aerobe
23491,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1,"Belnapia soli",aerobe
156975,,"CCUG 67887, CECT 9006",1,"Bergeyella porcorum",microaerophile
156976,,"CCUG 67890",0,"Bergeyella porcorum",microaerophile
150037,,"CCUG 38899",0,"Bergeyella sp.",aerobe
143309,,"CCUG 18376, CCUG 13231",0,"Bergeyella zoohelcum",microaerophile
149666,,"CCUG 38145",0,"Bergeyella zoohelcum","obligate aerobe"
152758,,"CCUG 47558",0,"Bergeyella zoohelcum",microaerophile
153084,,"CCUG 48442",0,"Bergeyella zoohelcum",microaerophile
153771,,"CCUG 50931",0,"Bergeyella zoohelcum",microaerophile
154003,,"CCUG 51919",0,"Bergeyella zoohelcum",microaerophile
156405,,"CCUG 61592",0,"Bergeyella zoohelcum",aerobe
156869,,"CCUG 66195",0,"Bergeyella zoohelcum",microaerophile
11297,RED65,"DSM 23232, CCUG 52064, CECT 7074",1,"Bermanella marisrubri",aerobe
1678,2163-026,"DSM 12333, ATCC BAA 8, IFO 16432, NBRC 16432, CCUG 43141, HKI 0122, JCM 11478, CIP 106362, NCIMB 13614",1,"Beutenbergia cavernae",aerobe
12009,ge10,"DSM 19037, CGMCC 1.6762",1,"Bhargavaea beijingensis",aerobe
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,"Bhargavaea cecembensis",aerobe
12010,ge14,"DSM 19038, CGMCC 1.6763",1,"Bhargavaea ginsengi",aerobe
156070,,"CCUG 60262",0,"Bhargavaea ginsengi",aerobe
23196,KJW98,"DSM 22308, KCTC 13583, LMG 25219",1,"Bhargavaea indica",aerobe
23197,,"DSM 26128, CCM 8429, LMG 27071, ZMA 19",1,"Bhargavaea ullalensis",aerobe
11747,"A92, S110, serovar 3/T15","DSM 23101, ATCC 29703, CCUG 27190, CIP 103829, NCTC 10370, CCM 4733",1,"Bibersteinia trehalosi",microaerophile
149426,,"CCUG 37711",0,"Bibersteinia trehalosi",microaerophile
152349,,"CCUG 46489",0,"Bibersteinia trehalosi",microaerophile
1749,LISLUCIII-P2,"DSM 22766, CCM 7728, JCM 18048, KCTC 15183",1,"Bifidobacterium actinocoloniiforme",anaerobe
1682,"E194a (Variant a)","DSM 20083, ATCC 15703, CCUG 18363, NCTC 11814, JCM 1275, BCRC 14606, CCM 4987, CCUG 17359, CCUG 45213, CECT 5781, CGMCC 1.2190, CIP 64.59, KCTC 3216, LMG 10502, VTT E-981074",1,"Bifidobacterium adolescentis",anaerobe
1683,"E 298 b (Variant c)","DSM 20086, ATCC 15705, CCUG 24603, JCM 7046, BCRC 14608, CIP 64.60, LMG 10733",0,"Bifidobacterium adolescentis",anaerobe
1684,"RU 424 (Mannitol fermenter)","DSM 20087, JCM 1251, KCTC 3459, LMG 11579",0,"Bifidobacterium adolescentis",anaerobe
1748,Eg1,"DSM 24849, JCM 15918, KCTC 5756, BCRC 80257",0,"Bifidobacterium adolescentis",anaerobe
137496,,"CIP 64.61, ATCC 15706, NCDO 2231, CCUG 45216",0,"Bifidobacterium adolescentis",anaerobe
151924,,"CCUG 45215, CIP 64.60",0,"Bifidobacterium adolescentis",anaerobe
152740,,"CCUG 47519",0,"Bifidobacterium adolescentis",anaerobe
153440,,"CCUG 49594 A",0,"Bifidobacterium adolescentis",anaerobe
23790,,"DSM 26737, JCM 18761, KCTC 15610, MRM 3/1",1,"Bifidobacterium aesculapii",anaerobe
23791,,"DSM 26738, JCM 18762, MRM 4/2",0,"Bifidobacterium aesculapii",anaerobe
1685,B677,"DSM 20098, ATCC 27535, JCM 7096, BCRC 14665, CCUG 24039, CGMCC 1.2265, CIP 104167, JCM 1221, KCTC 3236, LMG 11039, NCFB 2236",1,"Bifidobacterium angulatum",anaerobe
1686,F158,"DSM 20225, ATCC 27670, CCUG 44930, LMG 11568, JCM 1252, KCTC 3475",0,"Bifidobacterium angulatum",anaerobe
1687,P23,"DSM 20105, ATCC 27536, JCM 1253, KCTC 3126, LMG 18905",0,"Bifidobacterium animalis",anaerobe
131034,"S-cc-6089-ARE-19, SJ-19, SJ19","DSM 28736",0,"Bifidobacterium animalis",anaerobe
152979,,"CCUG 48185",0,"Bifidobacterium animalis",anaerobe
1736,R101-8,"DSM 20104, ATCC 25527, CIP 105419, JCM 1190, BCRC 14668, CCUG 24606, CGMCC 1.2268, KCTC 3125, LMG 10508, NCFB 2242, VTT E-96663",1,"Bifidobacterium animalis subsp. animalis",anaerobe
1733,UR1,"CCUG 37979, DSM 10140, CIP 105265, JCM 10602, BCRC 17394, CGMCC 1.2226, LMG 18314, NRRL B-41405, VTT E-97847",1,"Bifidobacterium animalis subsp. lactis",anaerobe
156458,,"CCUG 61907",0,"Bifidobacterium animalis subsp. lactis",anaerobe
157229,,"CCUG 70960, LMG 30189, JCM 32705",1,"Bifidobacterium anseris",anaerobe
140310,RP115,"DSM 100238, CCM 8605, LMG 28779",1,"Bifidobacterium apri",anaerobe
140884,"R 54638","LMG 28769, CCUG 67145",1,"Bifidobacterium aquikefiri",anaerobe
1688,C51,"DSM 20089, ATCC 25910, JCM 8230, CCUG 24607, BCRC 14659, CGMCC 1.2266, KCTC 3271, LMG 10735",1,"Bifidobacterium asteroides",anaerobe
1689,"C 3","CCUG 44931, LMG 11581, DSM 20431, ATCC 25909",0,"Bifidobacterium asteroides",anaerobe
1756,AFB23-4,"DSM 23969, JCM 17299, KCTC 15319",1,"Bifidobacterium biavatii",anaerobe
1693,Ti,"DSM 20456, ATCC 29521, JCM 1255, BCRC 11845, BCRC 14615, CCUG 18364, CCUG 45217, CECT 870, CGMCC 1.2212, CIP 56.7, HAMBI 1380, IFO 14252, KCTC 3202, KCTC 3281, LMG 11041, LMG 8810, NBRC 100015, NBRC 14252, NCAIM B.02021, NCFB 2715, NCIMB 702715, NCTC 13001, VTT E-97795",1,"Bifidobacterium bifidum",anaerobe
1690,"Hl 3","DSM 20215",0,"Bifidobacterium bifidum",anaerobe
1691,"E319f (Variant a)","DSM 20082, JCM 1254, BCRC 11844, CIP 64.64, KCTC 3440",0,"Bifidobacterium bifidum",anaerobe
1692,212A,"DSM 20239, ATCC 11863, JCM 1209, NCDO 795, CCUG 17362, LMG 10645, BCRC 14613, NCDC 795",0,"Bifidobacterium bifidum",anaerobe
151925,,"CCUG 45218, CIP 64.64",0,"Bifidobacterium bifidum",anaerobe
155871,,"CCUG 59492",0,"Bifidobacterium bifidum",anaerobe
1750,JEMLUCVIII-4,"DSM 22767, CCM 7729, JCM 18049, KCTC 15184",1,"Bifidobacterium bohemicum",anaerobe
1739,BluCI/TP,"DSM 19703, ATCC BAA 1567, KCTC 15159",1,"Bifidobacterium bombi",anaerobe
1694,RU917,"DSM 20432, ATCC 27917, JCM 1211, BCRC 14677, CCUG 24608, CGMCC 1.2272, KCTC 3227, LMG 10736",1,"Bifidobacterium boum",anaerobe
1695,S1,"DSM 20213, ATCC 15700, NCTC 11815, JCM 1192, BCRC 11846, CCUG 18365, CCUG 30511, CECT 4839, CGMCC 1.2213, CIP 64.69, KCTC 3220, LMG 10501, LMG 11042, NCFB 2257",1,"Bifidobacterium breve",anaerobe
1696,"S50 (Variant a)","DSM 20091, ATCC 15698, JCM 1273, CCUG 24611, CIP 64.66, KCTC 3461, LMG 10737, NCFB 2258",0,"Bifidobacterium breve",anaerobe
134790,,"CIP 64.68, ATCC 15699, CCUG 45221",0,"Bifidobacterium breve",anaerobe
141735,,"CCUG 5862, NCTC 10471",0,"Bifidobacterium breve",anaerobe
147417,,"CCUG 33558",0,"Bifidobacterium breve",microaerophile
147864,,"CCUG 34405",0,"Bifidobacterium breve",anaerobe
152514,,"CCUG 46983",0,"Bifidobacterium breve",anaerobe
152771,,"CCUG 47591",0,"Bifidobacterium breve",anaerobe
152812,,"CCUG 47672",0,"Bifidobacterium breve",microaerophile
152865,,"CCUG 47820",0,"Bifidobacterium breve",anaerobe
152875,,"CCUG 47844",0,"Bifidobacterium breve",microaerophile
153826,,"CCUG 51291",0,"Bifidobacterium breve",anaerobe
154347,,"CCUG 53196",0,"Bifidobacterium breve",microaerophile
154385,,"CCUG 53338",0,"Bifidobacterium breve",anaerobe
,,,,,microaerophile
154927,,"CCUG 55738",0,"Bifidobacterium breve",anaerobe
154963,,"CCUG 55883",0,"Bifidobacterium breve",microaerophile
155699,,"CCUG 59045",0,"Bifidobacterium breve",anaerobe
,,,,,microaerophile
155780,,"CCUG 59290",0,"Bifidobacterium breve",microaerophile
164528,2028B,"JCM 33352, CCUG 72814, LMG 30938",1,"Bifidobacterium callimiconis","facultative anaerobe"
158380,,"DSM 103152, JCM 31790, TRI 5",1,"Bifidobacterium callitrichidarum",anaerobe
,,,,,microaerophile
1754,AFB22-5,"DSM 23973, JCM 17296, KCTC 15334",1,"Bifidobacterium callitrichos",anaerobe
164527,2020B,"JCM 33351, CCUG 72816, LMG 30937",1,"Bifidobacterium castoris","facultative anaerobe"
147365,,"CCUG 33460, ATCC 27676, LMG 18910, CCUG 24612",0,"Bifidobacterium catenulatum",anaerobe
1697,B669,"DSM 16992, ATCC 27539, CECT 7362, CIP 104175, DSM 20103, CCUG 18366, JCM 1194, BCRC 14667, CCM 4989, CGMCC 1.2197, HAMBI 560, KCTC 3221, LMG 11043, NCAIM B.02017, NCFB 2246, NCIMB 702246, VTT E-011764",1,"Bifidobacterium catenulatum subsp. catenulatum",anaerobe
1698,F44,"DSM 20224, JCM 7130, CGMCC 1.3014, JCM 1257, LMG 18894",0,"Bifidobacterium catenulatum subsp. catenulatum",anaerobe
1751,HM2-2,"DSM 21854, JCM 15439, KCTC 15185",1,"Bifidobacterium catenulatum subsp. kashiwanohense",anaerobe
158387,,"DSM 103154, MRM 8.19, JCM 31794",1,"Bifidobacterium catulorum",aerobe
,,,,,microaerophile
1699,SU806,"DSM 20434, ATCC 27686, CCUG 24609, JCM 1212, CGMCC 1.2276, CIP 103378, KCTC 3275, LMG 10510",1,"Bifidobacterium choerinum",anaerobe
131372,H23-83,"DSM 28792, LMG 28292",1,"Bifidobacterium commune",anaerobe
157231,,"LMG 30188, CCUG 70962, JCM 32704",1,"Bifidobacterium criceti",anaerobe
1701,RA93,"DSM 20435, ATCC 27916, CCUG 24610, JCM 1213, BCRC 14672, CGMCC 1.2239, CIP 103379, KCTC 3276, LMG 10738",1,"Bifidobacterium cuniculi",anaerobe
1704,B764,"DSM 20436, ATCC 27534, JCM 1195, BCRC 14662, CCUG 17378, CCUG 18367, CECT 687, CGMCC 1.2188, CIP 104176, KCTC 3222, LMG 10506, NCFB 2243, NCTC 11816",1,"Bifidobacterium dentium",anaerobe
1702,,"DSM 20084, ATCC 15423",0,"Bifidobacterium dentium",anaerobe
1703,B735,"DSM 20221, JCM 7135, JCM 1258",0,"Bifidobacterium dentium",anaerobe
151364,,"CCUG 43878",0,"Bifidobacterium dentium",anaerobe
153394,,"CCUG 49431",0,"Bifidobacterium dentium",anaerobe
164531,2036B,"JCM 33355, CCUG 72818, LMG 30941",1,"Bifidobacterium dolichotidis","facultative anaerobe"
132454,LMM_E3,"DSM 100216, JCM 30801",1,"Bifidobacterium eulemuris",anaerobe
,,,,,microaerophile
1732,P6,"DSM 20093, ATCC 49850, JCM 8224, CCUG 34979, CGMCC 1.2274, CIP 103417, KCTC 3277, LMG 11596",1,"Bifidobacterium gallicum",anaerobe
1705,"Ch 206-5","DSM 20670, ATCC 33777, CCUG 34990, JCM 6291, BCRC 14679, CGMCC 1.2283, KCTC 3235, LMG 11586",1,"Bifidobacterium gallinarum subsp. gallinarum",anaerobe
1729,RA161,"DSM 6531, ATCC 49392, JCM 8223, CCUG 34977, CGMCC 1.2278, KCTC 3427, LMG 14934",1,"Bifidobacterium gallinarum subsp. saeculare",anaerobe
1730,RA158,"DSM 6532",0,"Bifidobacterium gallinarum subsp. saeculare",anaerobe
1731,RA159,"DSM 6533",0,"Bifidobacterium gallinarum subsp. saeculare",anaerobe
1706,RU224,"DSM 20092, ATCC 25865, JCM 5820, BCRC 14663, CCUG 34978, CCUG 39904, CGMCC 1.2203, KCTC 3234, LMG 10509, LMG 11569, NCFB 2245",1,"Bifidobacterium globosum",anaerobe
164529,2034B,"JCM 33353, CCUG 72815, LMG 30939",1,"Bifidobacterium goeldii","facultative anaerobe"
132346,MRM_8.14,"DSM 100202, JCM 30799, MRM 8.14",1,"Bifidobacterium hapali",aerobe
,,,,,anaerobe
157230,,"LMG 30297, CCUG 70961, JCM 32708",1,"Bifidobacterium imperatoris",anaerobe
1707,"C 410","DSM 20214, ATCC 25912, CCUG 34985, JCM 1302, BCRC 14674, CGMCC 1.2275, KCTC 3230, LMG 11587",1,"Bifidobacterium indicum",anaerobe
1700,C-215,"CCUG 34986, LMG 18911, DSM 20216, ATCC 25911, JCM 5819, BCRC 14675, CGMCC 1.2279, KCTC 3233, LMG 11584",0,"Bifidobacterium indicum",anaerobe
157232,,"CCUG 70963, LMG 30187, JCM 32703",1,"Bifidobacterium italicum",anaerobe
159320,,"DSM 103362, JCM 31788, MRM 9.3",1,"Bifidobacterium jacchi",aerobe
,,,,,anaerobe
,,,,,microaerophile
130215,,"DSM 28807, JCM 30168, LMC 13, KCTC 15888",1,"Bifidobacterium lemurum",anaerobe
151047,,"CCUG 43156 A",0,"Bifidobacterium longum",anaerobe
151519,,"CCUG 44192",0,"Bifidobacterium longum",anaerobe
151520,,"CCUG 44193",0,"Bifidobacterium longum",anaerobe
152770,,"CCUG 47590",0,"Bifidobacterium longum",anaerobe
153239,,"CCUG 48845",0,"Bifidobacterium longum",anaerobe
154768,,"CCUG 55134",0,"Bifidobacterium longum",anaerobe
155872,,"CCUG 59493",0,"Bifidobacterium longum",anaerobe
1743,S12,"DSM 20088, ATCC 15697, NCTC 11817, JCM 1222, BCRC 14602, BCRC 15416, CCM 4990, CCUG 18368, CECT 4551, CGMCC 1.1853, CGMCC 1.2202, CIP 64.67, KCTC 3249, KCTC 3270, LMG 8811, NCFB 2205",1,"Bifidobacterium longum subsp. infantis",anaerobe
1744,S76E,"DSM 20090, ATCC 15702, JCM 1272, BCRC 14602, CECT 4553, CIP 64.71, KCTC 3460, LMG 10500, NCFB 2256",0,"Bifidobacterium longum subsp. infantis",anaerobe
1745,,"DSM 20218, ATCC 17930, JCM 1260, BCRC 14661",0,"Bifidobacterium longum subsp. infantis",anaerobe
143274,,"CCUG 18157, LMG 18912",0,"Bifidobacterium longum subsp. infantis",microaerophile
151518,,"CCUG 44191",0,"Bifidobacterium longum subsp. infantis",anaerobe
152130,,"CCUG 45868",0,"Bifidobacterium longum subsp. infantis",anaerobe
152264,,"CCUG 46247",0,"Bifidobacterium longum subsp. infantis",anaerobe
152772,,"CCUG 47592",0,"Bifidobacterium longum subsp. infantis",anaerobe
154127,,"CCUG 52484",0,"Bifidobacterium longum subsp. infantis",anaerobe
154128,,"CCUG 52485",0,"Bifidobacterium longum subsp. infantis",anaerobe
154129,,"CCUG 52486",0,"Bifidobacterium longum subsp. infantis",anaerobe
154130,,"CCUG 52487",0,"Bifidobacterium longum subsp. infantis",anaerobe
155385,,"CCUG 57566",0,"Bifidobacterium longum subsp. infantis",anaerobe
1709,"E194b (Variant a)","DSM 20219, ATCC 15707, NCTC 11818, CCUG 28903, LMG 13197, JCM 1217, LMG 10497, BCRC 11847, CECT 4503, CIP 64.62, KCTC 3128, KCTC 3215, NCFB 2259, VTT E-96664",1,"Bifidobacterium longum subsp. longum",anaerobe
131387,"Su 851","DSM 28597, JCM 19995, KCTC 15605",1,"Bifidobacterium longum subsp. suillum",anaerobe
1746,SU859,"DSM 20211, ATCC 27533, JCM 1269, CCUG 35234, BCRC 14671, CGMCC 1.2184, CIP 103377, HAMBI 1381, KCTC 3229, LMG 11598, LMG 21814, NRRL B-41407, VTT E-021921",1,"Bifidobacterium longum subsp. suis",anaerobe
1708,C10-45,"DSM 20097",0,"Bifidobacterium longum subsp. suis",anaerobe
1711,RA3,"DSM 20222, ATCC 27540, CCUG 34987, JCM 1218, BCRC 14676, CGMCC 1.2189, HAMBI 569, KCTC 3228, LMG 11591",1,"Bifidobacterium magnum",anaerobe
1710,RA76,"DSM 20220, ATCC 27682, JCM 7132",0,"Bifidobacterium magnum",anaerobe
157228,,"LMG 30296, CCUG 70959, JCM 32707",1,"Bifidobacterium margollesii",anaerobe
156855,,"CCUG 66113",1,"Bifidobacterium mellis",anaerobe
156856,,"CCUG 66114",1,"Bifidobacterium melliventris",anaerobe
