"guideline"	"method"	"site"	"mo"	"mo_name"	"rank_index"	"ab"	"ab_name"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"
"EUCAST 2022"	"DISK"		"B_ENTRC_FCLS"	"Enterococcus faecalis"	2	"TGC"	"Tigecycline"	"Enterococcus"	"15"	20	20	FALSE
"EUCAST 2022"	"MIC"		"B_ENTRC_FCLS"	"Enterococcus faecalis"	2	"TGC"	"Tigecycline"	"Enterococcus"		0.25	0.25	FALSE
"EUCAST 2022"	"DISK"		"B_ESCHR_COLI"	"Escherichia coli"	2	"TGC"	"Tigecycline"	"Enterobacteriaceae"	"15"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_ESCHR_COLI"	"Escherichia coli"	2	"TGC"	"Tigecycline"	"Enterobacteriaceae"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY"	"Staphylococcus"	3	"TGC"	"Tigecycline"	"Staphs"	"15"	19	19	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY"	"Staphylococcus"	3	"TGC"	"Tigecycline"	"Staphs"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT"	"Streptococcus"	3	"TGC"	"Tigecycline"	"Strep A, B, C, G"	"15"	19	19	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"TGC"	"Tigecycline"	"Strep A, B, C, G"		0.125	0.125	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"TGC"	"Tigecycline"	"PK/PD"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TIC"	"Ticarcillin"	"Enterobacteriaceae"	"75"	23	20	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TIC"	"Ticarcillin"	"Enterobacteriaceae"		8	16	FALSE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"TIC"	"Ticarcillin"	"Pseudo"	"75"	50	18	FALSE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"TIC"	"Ticarcillin"	"Pseudo"		0.001	16	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"TIC"	"Ticarcillin"	"PK/PD"		8	16	FALSE
"EUCAST 2022"	"MIC"		"B_HMPHL"	"Haemophilus"	3	"TLT"	"Telithromycin"	"H. influenzae"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"TLT"	"Telithromycin"	"M. catarrhalis"	"15"	23	20	FALSE
"EUCAST 2022"	"MIC"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"TLT"	"Telithromycin"	"M. catarrhalis"		0.25	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT"	"Streptococcus"	3	"TLT"	"Telithromycin"	"Strep A, B, C, G"	"15"	20	17	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"TLT"	"Telithromycin"	"Strep A, B, C, G"		0.25	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"TLT"	"Telithromycin"	"S. pneumoniae"	"15"	23	20	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"TLT"	"Telithromycin"	"S. pneumoniae"		0.25	0.5	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"TLV"	"Telavancin"	"Staphs"		0.125	0.125	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TMP"	"Trimethoprim"	"Enterobacteriaceae"	"5"	15	15	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TMP"	"Trimethoprim"	"Enterobacteriaceae"		4	4	TRUE
"EUCAST 2022"	"DISK"	"UTI"	"B_ENTRC"	"Enterococcus"	3	"TMP"	"Trimethoprim"	"Enterococcus"	"5"	50	21	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_ENTRC"	"Enterococcus"	3	"TMP"	"Trimethoprim"	"Enterococcus"		0.032	1	TRUE
"EUCAST 2022"	"DISK"	"UTI"	"B_STPHY"	"Staphylococcus"	3	"TMP"	"Trimethoprim"	"Staphs"	"5"	14	14	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_STPHY"	"Staphylococcus"	3	"TMP"	"Trimethoprim"	"Staphs"		4	4	TRUE
"EUCAST 2022"	"MIC"	"UTI"	"B_STRPT_GRPB"	"Streptococcus group B"	2	"TMP"	"Trimethoprim"	"Strep A, B, C, G"		2	2	TRUE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TOB"	"Tobramycin"	"Enterobacteriaceae"	"10"	16	16	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TOB"	"Tobramycin"	"Enterobacteriaceae"	"10"	16	16	TRUE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TOB"	"Tobramycin"	"Enterobacteriaceae"		2	2	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TOB"	"Tobramycin"	"Enterobacteriaceae"		2	2	TRUE
"EUCAST 2022"	"DISK"		"B_ACNTB"	"Acinetobacter"	3	"TOB"	"Tobramycin"	"Acinetobacter spp."	"10"	17	17	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"TOB"	"Tobramycin"	"Acinetobacter spp."	"10"	17	17	TRUE
"EUCAST 2022"	"MIC"		"B_ACNTB"	"Acinetobacter"	3	"TOB"	"Tobramycin"	"Acinetobacter spp."		4	4	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"TOB"	"Tobramycin"	"Acinetobacter spp."		4	4	TRUE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"TOB"	"Tobramycin"	"Pseudo"	"10"	18	18	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"TOB"	"Tobramycin"	"Pseudo"	"10"	18	18	TRUE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"TOB"	"Tobramycin"	"Pseudo"		2	2	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"TOB"	"Tobramycin"	"Pseudo"		2	2	TRUE
"EUCAST 2022"	"DISK"		"B_STPHY_AURS"	"Staphylococcus aureus"	2	"TOB"	"Tobramycin"	"Staphs"	"10"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_AURS"	"Staphylococcus aureus"	2	"TOB"	"Tobramycin"	"Staphs"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"TOB"	"Tobramycin"	"Staphs"	"10"	20	20	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"TOB"	"Tobramycin"	"Staphs"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"TOB"	"Tobramycin"	"Staphs"	"10"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"TOB"	"Tobramycin"	"Staphs"		1	1	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"TOB"	"Tobramycin"	"PK/PD"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STPHY"	"Staphylococcus"	3	"TZD"	"Tedizolid"	"Staphs"	"2ug"	20	20	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY"	"Staphylococcus"	3	"TZD"	"Tedizolid"	"Staphs"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT"	"Streptococcus"	3	"TZD"	"Tedizolid"	"Strep A, B, C, G"	"2ug"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"TZD"	"Tedizolid"	"Strep A, B, C, G"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_ANGN"	"Streptococcus anginosus"	2	"TZD"	"Tedizolid"	"Viridans strept"	"2ug"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_ANGN"	"Streptococcus anginosus"	2	"TZD"	"Tedizolid"	"Viridans strept"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_CNST"	"Streptococcus constellatus"	2	"TZD"	"Tedizolid"	"Viridans strept"	"2ug"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_CNST"	"Streptococcus constellatus"	2	"TZD"	"Tedizolid"	"Viridans strept"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_INTR"	"Streptococcus intermedius"	2	"TZD"	"Tedizolid"	"Viridans strept"	"2ug"	18	18	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_INTR"	"Streptococcus intermedius"	2	"TZD"	"Tedizolid"	"Viridans strept"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TZP"	"Piperacillin/tazobactam"	"Enterobacteriaceae"	"30-6"	20	20	FALSE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"TZP"	"Piperacillin/tazobactam"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_ACHRMB_DNTR"	"Achromobacter denitrificans"	2	"TZP"	"Piperacillin/tazobactam"	"A. xylosoxidans"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_ACHRMB_DNTR"	"Achromobacter denitrificans"	2	"TZP"	"Piperacillin/tazobactam"	"A. xylosoxidans"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_ACHRMB_XYLS"	"Achromobacter xylosoxidans"	2	"TZP"	"Piperacillin/tazobactam"	"A. xylosoxidans"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_ACHRMB_XYLS"	"Achromobacter xylosoxidans"	2	"TZP"	"Piperacillin/tazobactam"	"A. xylosoxidans"		4	4	FALSE
"EUCAST 2022"	"DISK"		"B_BCTRD"	"Bacteroides"	3	"TZP"	"Piperacillin/tazobactam"	"Bacteroides"	"30-6"	20	20	FALSE
"EUCAST 2022"	"MIC"		"B_BCTRD"	"Bacteroides"	3	"TZP"	"Piperacillin/tazobactam"	"Bacteroides"		8	8	FALSE
"EUCAST 2022"	"DISK"		"B_CTBCTR_ACNS"	"Cutibacterium acnes"	2	"TZP"	"Piperacillin/tazobactam"	"C. acnes"	"30-6"	27	27	FALSE
"EUCAST 2022"	"MIC"		"B_CTBCTR_ACNS"	"Cutibacterium acnes"	2	"TZP"	"Piperacillin/tazobactam"	"C. acnes"		0.25	0.25	FALSE
"EUCAST 2022"	"DISK"		"B_CTRDM_PRFR"	"Clostridium perfringens"	2	"TZP"	"Piperacillin/tazobactam"	"C. perfringens"	"30-6"	24	24	FALSE
"EUCAST 2022"	"MIC"		"B_CTRDM_PRFR"	"Clostridium perfringens"	2	"TZP"	"Piperacillin/tazobactam"	"C. perfringens"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_FSBCTR_NCRP"	"Fusobacterium necrophorum"	2	"TZP"	"Piperacillin/tazobactam"	"F. necrophorum"	"30-6"	32	32	FALSE
"EUCAST 2022"	"MIC"		"B_FSBCTR_NCRP"	"Fusobacterium necrophorum"	2	"TZP"	"Piperacillin/tazobactam"	"F. necrophorum"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_HMPHL"	"Haemophilus"	3	"TZP"	"Piperacillin/tazobactam"	"H. influenzae"	"30-6"	27	27	FALSE
"EUCAST 2022"	"MIC"		"B_HMPHL"	"Haemophilus"	3	"TZP"	"Piperacillin/tazobactam"	"H. influenzae"		0.25	0.25	FALSE
"EUCAST 2022"	"DISK"		"B_PRVTL"	"Prevotella"	3	"TZP"	"Piperacillin/tazobactam"	"Prevotella"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_PRVTL"	"Prevotella"	3	"TZP"	"Piperacillin/tazobactam"	"Prevotella"		0.5	0.5	FALSE
"EUCAST 2022"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"TZP"	"Piperacillin/tazobactam"	"Pseudo"	"30-6"	50	18	FALSE
"EUCAST 2022"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"TZP"	"Piperacillin/tazobactam"	"Pseudo"		0.001	16	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_ALGN"	"Vibrio alginolyticus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_CHLR"	"Vibrio cholerae"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_FLVL"	"Vibrio fluvialis"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_PRHM"	"Vibrio parahaemolyticus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"	"30-6"	26	26	FALSE
"EUCAST 2022"	"MIC"		"B_VIBRI_VLNF"	"Vibrio vulnificus"	2	"TZP"	"Piperacillin/tazobactam"	"Vibrio"		1	1	FALSE
"EUCAST 2022"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"TZP"	"Piperacillin/tazobactam"	"PK/PD"		4	16	FALSE
"EUCAST 2022"	"DISK"		"B_AERCC"	"Aerococcus"	3	"VAN"	"Vancomycin"	"Aerococcus"		16	16	FALSE
"EUCAST 2022"	"MIC"		"B_AERCC"	"Aerococcus"	3	"VAN"	"Vancomycin"	"Aerococcus"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_BCLLS"	"Bacillus"	3	"VAN"	"Vancomycin"	"Bacillus sp."	"5ug"	10	10	FALSE
"EUCAST 2022"	"MIC"		"B_BCLLS"	"Bacillus"	3	"VAN"	"Vancomycin"	"Bacillus sp."		2	2	FALSE
"EUCAST 2022"	"MIC"		"B_CRDDS_DFFC"	"Clostridioides difficile"	2	"VAN"	"Vancomycin"	"C. difficile"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_CRYNB"	"Corynebacterium"	3	"VAN"	"Vancomycin"	"Corynebacterium spp."	"5"	17	17	FALSE
"EUCAST 2022"	"MIC"		"B_CRYNB"	"Corynebacterium"	3	"VAN"	"Vancomycin"	"Corynebacterium spp."		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_CTBCTR_ACNS"	"Cutibacterium acnes"	2	"VAN"	"Vancomycin"	"C. acnes"	"5"	22	22	FALSE
"EUCAST 2022"	"MIC"		"B_CTBCTR_ACNS"	"Cutibacterium acnes"	2	"VAN"	"Vancomycin"	"C. acnes"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_CTRDM_PRFR"	"Clostridium perfringens"	2	"VAN"	"Vancomycin"	"C. perfringens"	"5"	12	12	FALSE
"EUCAST 2022"	"MIC"		"B_CTRDM_PRFR"	"Clostridium perfringens"	2	"VAN"	"Vancomycin"	"C. perfringens"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_ENTRC"	"Enterococcus"	3	"VAN"	"Vancomycin"	"Enterococcus"	"5"	12	12	FALSE
"EUCAST 2022"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"VAN"	"Vancomycin"	"Enterococcus"		4	4	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"VAN"	"Vancomycin"	"Staphs"		4	4	FALSE
"EUCAST 2022"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"VAN"	"Vancomycin"	"Staphs"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT"	"Streptococcus"	3	"VAN"	"Vancomycin"	"Strep A, B, C, G"	"5"	13	13	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT"	"Streptococcus"	3	"VAN"	"Vancomycin"	"Strep A, B, C, G"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"VAN"	"Vancomycin"	"S. pneumoniae"	"5"	16	16	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"VAN"	"Vancomycin"	"S. pneumoniae"		2	2	FALSE
"EUCAST 2022"	"DISK"		"B_STRPT_VIRI"	"Viridans Group Streptococcus (VGS)"	2	"VAN"	"Vancomycin"	"Viridans strept"	"5"	15	15	FALSE
"EUCAST 2022"	"MIC"		"B_STRPT_VIRI"	"Viridans Group Streptococcus (VGS)"	2	"VAN"	"Vancomycin"	"Viridans strept"		2	2	FALSE
"EUCAST 2022"	"MIC"		"F_ASPRG_MGTS"	"Aspergillus fumigatus"	2	"VOR"	"Voriconazole"	"Aspergillus"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_ASPRG_NDLN"	"Aspergillus nidulans"	2	"VOR"	"Voriconazole"	"Aspergillus"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_ALBC"	"Candida albicans"	2	"VOR"	"Voriconazole"	"Candida"		0.064	0.25	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_DBLN"	"Candida dubliniensis"	2	"VOR"	"Voriconazole"	"Candida"		0.064	0.25	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_PRPS"	"Candida parapsilosis"	2	"VOR"	"Voriconazole"	"Candida"		0.125	0.25	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_TRPC"	"Candida tropicalis"	2	"VOR"	"Voriconazole"	"Candida"		0.125	0.25	FALSE
"EUCAST 2021"	"MIC"		"F_ASPRG_MGTS"	"Aspergillus fumigatus"	2	"AMB"	"Amphotericin B"	"Aspergillus"		1	2	FALSE
"EUCAST 2021"	"MIC"		"F_ASPRG_NIGR"	"Aspergillus niger"	2	"AMB"	"Amphotericin B"	"Aspergillus"		1	2	FALSE
"EUCAST 2021"	"MIC"		"F_CANDD"	"Candida"	3	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"MIC"		"F_CANDD_ALBC"	"Candida albicans"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"MIC"		"F_CANDD_KRUS"	"Candida krusei"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"MIC"		"F_CANDD_PRPS"	"Candida parapsilosis"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"MIC"		"F_CANDD_TRPC"	"Candida tropicalis"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"MIC"		"F_PICHI"	"Pithomyces djbhatii"	3	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2021"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"	"20-10"	19	19	FALSE
"EUCAST 2021"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"	"20-10"	16	16	TRUE
"EUCAST 2021"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2021"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"		32	32	TRUE
"EUCAST 2021"	"DISK"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"AMC"	"Amoxicillin/clavulanic acid"	"B. pseudomallei"	"20ug/10ug"	50	22	FALSE
"EUCAST 2021"	"MIC"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"AMC"	"Amoxicillin/clavulanic acid"	"B. pseudomallei"		0.001	8	FALSE
"EUCAST 2021"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"Enterococcus"		4	8	FALSE
"EUCAST 2021"	"DISK"	"IV"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"	"2-1"	15	15	FALSE
"EUCAST 2021"	"DISK"	"Oral"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"	"2-1"	50	15	FALSE
"EUCAST 2021"	"MIC"	"IV"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"		2	2	FALSE
"EUCAST 2021"	"MIC"	"Oral"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"		0.001	2	FALSE
"EUCAST 2021"	"DISK"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"AMC"	"Amoxicillin/clavulanic acid"	"M. catarrhalis"	"2-1"	19	19	FALSE
"EUCAST 2021"	"MIC"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"AMC"	"Amoxicillin/clavulanic acid"	"M. catarrhalis"		1	1	FALSE
"EUCAST 2021"	"DISK"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMC"	"Amoxicillin/clavulanic acid"	"Pasteurella multocida"	"2-1"	15	15	FALSE
"EUCAST 2021"	"MIC"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMC"	"Amoxicillin/clavulanic acid"	"Pasteurella multocida"		1	1	FALSE
"EUCAST 2021"	"MIC"	"Oral"	"B_STRPT_PNMN"	"Streptococcus pneumoniae"	2	"AMC"	"Amoxicillin/clavulanic acid"	"S. pneumoniae"		0.5	1	FALSE
"EUCAST 2021"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMC"	"Amoxicillin/clavulanic acid"	"PK/PD"		2	8	FALSE
"EUCAST 2021"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"	"30"	18	18	FALSE
"EUCAST 2021"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"	"30"	18	18	TRUE
"EUCAST 2021"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2021"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMK"	"Amikacin"	"Enterobacteriaceae"		8	8	TRUE
"EUCAST 2021"	"DISK"		"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."	"30"	19	19	FALSE
"EUCAST 2021"	"DISK"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."	"30"	19	19	TRUE
"EUCAST 2021"	"MIC"		"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."		8	8	FALSE
"EUCAST 2021"	"MIC"	"UTI"	"B_ACNTB"	"Acinetobacter"	3	"AMK"	"Amikacin"	"Acinetobacter spp."		8	8	TRUE
"EUCAST 2021"	"DISK"		"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"	"30"	15	15	FALSE
"EUCAST 2021"	"DISK"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"	"30"	15	15	TRUE
"EUCAST 2021"	"MIC"		"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"		16	16	FALSE
"EUCAST 2021"	"MIC"	"UTI"	"B_PSDMN"	"Pseudomonas"	3	"AMK"	"Amikacin"	"Pseudo"		16	16	TRUE
"EUCAST 2021"	"DISK"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"AMK"	"Amikacin"	"Staphs"	"30"	22	22	FALSE
"EUCAST 2021"	"MIC"		"B_STPHY_CONS"	"Coagulase-negative Staphylococcus (CoNS)"	2	"AMK"	"Amikacin"	"Staphs"		8	8	FALSE
"EUCAST 2021"	"DISK"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"AMK"	"Amikacin"	"Staphs"	"30"	18	18	FALSE
"EUCAST 2021"	"MIC"		"B_STPHY_COPS"	"Coagulase-positive Staphylococcus (CoPS)"	2	"AMK"	"Amikacin"	"Staphs"		8	8	FALSE
"EUCAST 2021"	"MIC"		"UNKNOWN"	"(unknown name)"	6	"AMK"	"Amikacin"	"PK/PD"		1	1	FALSE
"EUCAST 2021"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMP"	"Ampicillin"	"Enterobacteriaceae"	"10"	14	14	FALSE
"EUCAST 2021"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMP"	"Ampicillin"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2021"	"DISK"		"B_AERCC"	"Aerococcus"	3	"AMP"	"Ampicillin"	"Aerococcus"		26	26	FALSE
"EUCAST 2021"	"MIC"		"B_AERCC"	"Aerococcus"	3	"AMP"	"Ampicillin"	"Aerococcus"		0.25	0.25	FALSE
"EUCAST 2021"	"DISK"		"B_ENTRC"	"Enterococcus"	3	"AMP"	"Ampicillin"	"Enterococcus"	"2"	10	8	FALSE
"EUCAST 2021"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"AMP"	"Ampicillin"	"Enterococcus"		4	8	FALSE
"EUCAST 2021"	"DISK"	"Non-meningitis"	"B_HMPHL"	"Haemophilus"	3	"AMP"	"Ampicillin"	"H. influenzae"	"2"	18	18	FALSE
"EUCAST 2021"	"MIC"	"Non-meningitis"	"B_HMPHL"	"Haemophilus"	3	"AMP"	"Ampicillin"	"H. influenzae"		1	1	FALSE
"EUCAST 2021"	"MIC"		"B_KGLLA_KING"	"Kingella kingae"	2	"AMP"	"Ampicillin"	"Kingella"		0.064	0.064	FALSE
